,Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,50-Day MA,50-Day Volatility
5996,2004-09-15,0.631429,0.633571,0.621429,0.628571,0.532827,232668800,-0.008171992110453719,0.5778286,0.026148964337874944
5997,2004-09-16,0.628571,0.656429,0.626429,0.649107,0.550235,501916800,0.03267093136654409,0.57995716,0.026302157512049062
5998,2004-09-17,0.652679,0.6675,0.65,0.663214,0.562193,502308800,0.021732934631732537,0.58245716,0.026361014554369323
5999,2004-09-20,0.658571,0.678214,0.658393,0.673393,0.570822,245000000,0.01534798722584263,0.5852000199999999,0.026377803476787337
6000,2004-09-21,0.674107,0.694107,0.668929,0.67875,0.575363,386652000,0.007955235649910186,0.5883678800000001,0.025904877359166176
6001,2004-09-22,0.680357,0.681071,0.657321,0.659286,0.558864,401688000,-0.028676243093922582,0.59111788,0.026354003526689294
6002,2004-09-23,0.661429,0.669643,0.659464,0.665536,0.564161,397404000,0.009479952554733329,0.59386432,0.026341012468728008
6003,2004-09-24,0.66875,0.678571,0.663393,0.665893,0.564464,369488000,0.0005364097509374943,0.59542146,0.021207211204662065
6004,2004-09-27,0.659821,0.678214,0.657679,0.670179,0.568097,397516000,0.0064364695228813495,0.59732504,0.020906071967652835
6005,2004-09-28,0.668929,0.68375,0.66875,0.679286,0.575817,353186400,0.013588906844290927,0.5994929,0.020900687051014208
6006,2004-09-29,0.677321,0.693929,0.675357,0.690714,0.585504,273509600,0.016823547077372547,0.6018071800000001,0.020977796495073055
6007,2004-09-30,0.696429,0.70125,0.686607,0.691964,0.586564,425012000,0.0018097215345280748,0.6043536,0.020741425110156735
6008,2004-10-01,0.698571,0.699821,0.688929,0.690536,0.585353,465404800,-0.0020636911746854114,0.6068500400000001,0.02075828917450416
6009,2004-10-04,0.699643,0.699643,0.691964,0.692679,0.58717,574084000,0.003103386354947446,0.60973934,0.02013099896392753
6010,2004-10-05,0.688571,0.708393,0.685714,0.703036,0.595949,406162400,0.014952091805872536,0.6126357800000001,0.020091808893150365
6011,2004-10-06,0.705357,0.727857,0.704821,0.725714,0.615173,446303200,0.03225723860513541,0.61556792,0.0199332243068258
6012,2004-10-07,0.723929,0.730893,0.704643,0.7075,0.599734,426148800,-0.025098041377181635,0.6181929199999999,0.02033246476162453
6013,2004-10-08,0.706429,0.710179,0.693571,0.6975,0.591257,359228800,-0.014134275618374548,0.6204857800000001,0.02047056887376753
6014,2004-10-11,0.692857,0.6975,0.682143,0.689107,0.584142,323870400,-0.012032974910394234,0.62271792,0.020511289713575482
6015,2004-10-12,0.6875,0.688929,0.672321,0.68375,0.579601,460191200,-0.007773829028002943,0.62511434,0.02020324505709711
6016,2004-10-13,0.694107,0.71,0.691786,0.709821,0.601701,1163008000,0.03812943327239493,0.6281357599999999,0.020672823692960113
6017,2004-10-14,0.77125,0.816964,0.759821,0.803214,0.680868,2768427200,0.13157260774195167,0.63284646,0.027319810828959734
6018,2004-10-15,0.801429,0.814464,0.789107,0.8125,0.68874,1031128000,0.011561053467693538,0.63788574,0.02717386016261159
6019,2004-10-18,0.798214,0.852679,0.798214,0.852679,0.722799,1200752000,0.04945107692307693,0.6443036000000001,0.026427585401624317
6020,2004-10-19,0.858929,0.863393,0.844821,0.846786,0.717803,801992800,-0.00691115882999338,0.6504178999999999,0.026508349850918322
6021,2004-10-20,0.8425,0.85,0.833036,0.847679,0.71856,605108000,0.0010545757723909865,0.65611434,0.026152074333640817
6022,2004-10-21,0.847857,0.859464,0.845714,0.856071,0.725674,724505600,0.009899973928810368,0.66216076,0.025907825639134827
6023,2004-10-22,0.848929,0.85125,0.839643,0.846607,0.717652,483067200,-0.011055157808172456,0.6682464800000001,0.025718323189560677
6024,2004-10-25,0.842857,0.854286,0.840536,0.849107,0.719771,392644000,0.002952964008093417,0.6742143399999999,0.025717508239345998
6025,2004-10-26,0.847321,0.858036,0.83875,0.856607,0.726129,594361600,0.008832809057044644,0.6803536200000001,0.025668960711473857
6026,2004-10-27,0.86625,0.903929,0.860179,0.898214,0.761398,1193494400,0.048571865511255474,0.6872928999999999,0.0262456504255043
6027,2004-10-28,0.8925,0.9325,0.883929,0.931964,0.790007,864264800,0.03757456463604458,0.69459646,0.026410529257935723
6028,2004-10-29,0.925714,0.95,0.925,0.935714,0.793186,810219200,0.0040237605744428695,0.7023428800000001,0.025699068355762696
6029,2004-11-01,0.9375,0.951071,0.929286,0.936607,0.793943,602050400,0.0009543514364431793,0.71007502,0.02571333004389629
6030,2004-11-02,0.935714,0.965714,0.935714,0.955357,0.809837,729988000,0.020019068830363196,0.71808216,0.02574308105487342
6031,2004-11-03,0.970893,1.001964,0.964107,0.987679,0.837235,1204173600,0.03383237889082302,0.72642502,0.025833759696387605
6032,2004-11-04,0.982679,0.991964,0.970893,0.972321,0.824217,928625600,-0.015549586454708497,0.73406786,0.025889348074198792
6033,2004-11-05,0.979643,0.982143,0.929286,0.977143,0.828305,1205047200,0.004959267566986725,0.7412321399999999,0.025298857161128667
6034,2004-11-08,0.969107,0.990179,0.961786,0.971071,0.823157,526920800,-0.006214034179234718,0.7483856999999999,0.025261206728366254
6035,2004-11-09,0.968393,0.974107,0.953214,0.965179,0.818163,475764800,-0.006067527503138326,0.75550356,0.025253129841277797
6036,2004-11-10,0.963393,0.989107,0.962679,0.977679,0.828759,508676000,0.01295096557218911,0.76273928,0.025257105486938332
6037,2004-11-11,0.98125,0.989821,0.968393,0.9875,0.837084,407299200,0.010045219340908407,0.7696821399999999,0.024880314942829263
6038,2004-11-12,0.982321,0.994464,0.979286,0.991071,0.840111,395701600,0.003616202531645518,0.77676784,0.024804325804783478
6039,2004-11-15,0.985714,0.990357,0.970357,0.986429,0.836176,376045600,-0.004683821845256286,0.7839142800000001,0.024697180896857022
6040,2004-11-16,0.985,0.985714,0.972857,0.981071,0.831634,295103200,-0.005431713787814374,0.7907642800000001,0.02477000940928635
6041,2004-11-17,0.985536,0.990179,0.968214,0.980357,0.831029,397751200,-0.0007277760732913308,0.79738928,0.024782126089569416
